순번,주차장관리번호,주차장명,주차장 유형,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공유일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권적용시간,월정기요금,결제방법,관리기관명,경도,위도
1,154-1-000001,3공단로25길인근,노상,대구광역시 북구 노원동3가 191-1,6,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89777007,128.5654103
2,154-1-000002,3공단로인근,노상,대구광역시 북구 노원동3가 14,329,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시청,35.89947054,128.5698535
3,154-1-000003,검단동로인근,노상,대구광역시 북구 검단동 745-2,29,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.9139494,128.6251348
4,154-1-000004,경대로17길인근,노상,대구광역시 북구 복현동 573,78,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8927398,128.6127204
5,154-1-000005,경대로23길인근,노상,대구광역시 북구 복현동 606-34,5,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8926020,128.6160212
6,154-1-000006,경대로27길인근,노상,대구광역시 북구 복현동 433-1,8,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.89380025,128.6173543
7,154-1-000007,경대로5길인근,노상,대구광역시 북구 대현동 14-1,33,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.88474855,128.6131925
8,154-1-000008,경대로7길인근,노상,대구광역시 북구 대현동 526,19,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8858208,128.6072941
9,154-1-000009,경대북문건너,노상,대구광역시 북구 산격동 1499-2,46,2,미시행,평일+토요일+공휴일,09:00:00,19:00:00,09:00:00,23:59:00,00:00:00,00:00:00,유료,30,600,10,300,0,0,0,0,대구광역시청,35.891244,128.6062891
10,154-1-000010,경진로1길인근,노상,대구광역시 북구 복현동 623,15,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,무료,0,0,0,0,0,0,0,0,대구광역시 북구청,35.8945826,128.6188058
