주차장명,소재지지번주소,주차구획수
3공단로25길인근,대구광역시 북구 노원동3가 191-1,6
3공단로인근,대구광역시 북구 노원동3가 14,329
검단동로인근,대구광역시 북구 검단동 745-2,29
경대로17길인근,대구광역시 북구 복현동 573,78
경대로23길인근,대구광역시 북구 복현동 606-34,5
경대로27길인근,대구광역시 북구 복현동 433-1,8
경대로5길인근,대구광역시 북구 대현동 14-1,33
경대로7길인근,대구광역시 북구 대현동 526,19
경대북문건너,대구광역시 북구 산격동 1499-2,46
경진로1길인근,대구광역시 북구 복현동 623,15
경진로남1길인근,대구광역시 북구 복현동 436-1,17
경진로인근,대구광역시 북구 복현동 623,92
고성로34길인근,대구광역시 북구 고성동2가 130,9
고성로37길인근,대구광역시 북구 고성동3가 2,57
고성북로10길인근,대구광역시 북구 고성동3가 143,15
고성북로1인근,대구광역시 북구 고성동3가 143,65
고성북로2인근,대구광역시 북구 고성동3가 143,87
관은동로32길인근,대구광역시 북구 읍내동 1295-6,27
관음동로13길인근,대구광역시 북구 관음동 1346,43
관음동로31길인근,대구광역시 북구 관음동 1240,6
관음동로9길인근,대구광역시 북구 관음동 1357,8
관음동로인근,대구광역시 북구 읍내동 1311,9
관음중앙로17길인근,대구광역시 북구 관음동 1244,26
관음중앙로21길인근,대구광역시 북구 관음동 1252,75
관음중앙로28길인근,대구광역시 북구 관음동 1293,60
관음중앙로7길인근,대구광역시 북구 관음동 1322,11
관음중앙로인근,대구광역시 북구 관음동 1373,62
구암로15길인근,대구광역시 북구 읍내동 1339,43
구암로16길인근,대구광역시 북구 태전동 996,20
구암로17길인근,대구광역시 북구 읍내동 1368,37
구암로인근,대구광역시 북구 구암동 839,40
노곡로인근,대구광역시 북구 노곡동 282-1,20
노원네거리(북편),대구광역시 북구 침산동 1208,22
노원동로7길,대구광역시 북구 노원동3가 1120-2,11
노원동로인근(수성전기재료백화점),대구광역시 북구 노원동2가 13-3,37
노원로10길(대구산업-노원새마을금고),대구광역시 북구 노원동2가 1,102
노원로10길인근,대구광역시 북구 노원동2가 1,3
노원로17길인근,대구광역시 북구 노원동3가 252-3,37
노원로25길인근,대구광역시 북구 노원동3가 252-3,41
노원로40길인근,대구광역시 북구 침산동 1208,12
노원로9길인근,대구광역시 북구 노원동3가 234,58
노원로인근1,대구광역시 북구 노원동3가 252-3,14
노원로인근2,대구광역시 북구 노원동3가 252-3,40
