주차장명,소재지지번주소,구분,값
3공단로25길인근,대구광역시 북구 노원동3가 191-1,주차구획수,6
3공단로인근,대구광역시 북구 노원동3가 14,주차구획수,329
검단동로인근,대구광역시 북구 검단동 745-2,주차구획수,29
경대로17길인근,대구광역시 북구 복현동 573,주차구획수,78
경대로23길인근,대구광역시 북구 복현동 606-34,주차구획수,5
경대로27길인근,대구광역시 북구 복현동 433-1,주차구획수,8
경대로5길인근,대구광역시 북구 대현동 14-1,주차구획수,33
경대로7길인근,대구광역시 북구 대현동 526,주차구획수,19
경대북문건너,대구광역시 북구 산격동 1499-2,주차구획수,46
경진로1길인근,대구광역시 북구 복현동 623,주차구획수,15
경진로남1길인근,대구광역시 북구 복현동 436-1,주차구획수,17
경진로인근,대구광역시 북구 복현동 623,주차구획수,92
고성로34길인근,대구광역시 북구 고성동2가 130,주차구획수,9
고성로37길인근,대구광역시 북구 고성동3가 2,주차구획수,57
고성북로10길인근,대구광역시 북구 고성동3가 143,주차구획수,15
고성북로1인근,대구광역시 북구 고성동3가 143,주차구획수,65
고성북로2인근,대구광역시 북구 고성동3가 143,주차구획수,87
관은동로32길인근,대구광역시 북구 읍내동 1295-6,주차구획수,27
관음동로13길인근,대구광역시 북구 관음동 1346,주차구획수,43
관음동로31길인근,대구광역시 북구 관음동 1240,주차구획수,6
관음동로9길인근,대구광역시 북구 관음동 1357,주차구획수,8
관음동로인근,대구광역시 북구 읍내동 1311,주차구획수,9
관음중앙로17길인근,대구광역시 북구 관음동 1244,주차구획수,26
관음중앙로21길인근,대구광역시 북구 관음동 1252,주차구획수,75
관음중앙로28길인근,대구광역시 북구 관음동 1293,주차구획수,60
관음중앙로7길인근,대구광역시 북구 관음동 1322,주차구획수,11
관음중앙로인근,대구광역시 북구 관음동 1373,주차구획수,62
구암로15길인근,대구광역시 북구 읍내동 1339,주차구획수,43
구암로16길인근,대구광역시 북구 태전동 996,주차구획수,20
구암로17길인근,대구광역시 북구 읍내동 1368,주차구획수,37
구암로인근,대구광역시 북구 구암동 839,주차구획수,40
노곡로인근,대구광역시 북구 노곡동 282-1,주차구획수,20
노원네거리(북편),대구광역시 북구 침산동 1208,주차구획수,22
노원동로7길,대구광역시 북구 노원동3가 1120-2,주차구획수,11
노원동로인근(수성전기재료백화점),대구광역시 북구 노원동2가 13-3,주차구획수,37
노원로10길(대구산업-노원새마을금고),대구광역시 북구 노원동2가 1,주차구획수,102
노원로10길인근,대구광역시 북구 노원동2가 1,주차구획수,3
노원로17길인근,대구광역시 북구 노원동3가 252-3,주차구획수,37
노원로25길인근,대구광역시 북구 노원동3가 252-3,주차구획수,41
노원로40길인근,대구광역시 북구 침산동 1208,주차구획수,12
노원로9길인근,대구광역시 북구 노원동3가 234,주차구획수,58
노원로인근1,대구광역시 북구 노원동3가 252-3,주차구획수,14
노원로인근2,대구광역시 북구 노원동3가 252-3,주차구획수,40
노원로인근3,대구광역시 북구 노원동3가 252-3,주차구획수,38
노원로인근4,대구광역시 북구 노원동3가 252-3,주차구획수,41
대구역북편,대구광역시 북구 칠성동2가 490-1,주차구획수,23
대구체육관로10길인근,대구광역시 북구 산격동 1497-20,주차구획수,14
대구체육관로11길인근,대구광역시 북구 산격동 1499-3,주차구획수,17
대구체육관로9길인근,대구광역시 북구 산격동 1427-1,주차구획수,41
대구체육관로인근,대구광역시 북구 산격동 1444-1,주차구획수,5
대동로4길인근,대구광역시 북구 산격동 1499-2,주차구획수,8
대동로8길인근,대구광역시 북구 산격동 1267-25,주차구획수,12
대동로9길인근,대구광역시 북구 산격동 1265-2,주차구획수,13
대불로5길인근,대구광역시 북구 산격동 산9-28,주차구획수,14
대천로7길인근,대구광역시 북구 읍내동 1348,주차구획수,7
대천로9길인근,대구광역시 북구 읍내동 1352,주차구획수,28
대학로15길인근,대구광역시 북구 산격동 1499-1,주차구획수,3
대학로17길인근,대구광역시 북구 산격동 1499-1,주차구획수,8
대학로23길인근,대구광역시 북구 산격동 1499-1,주차구획수,2
대학로25길인근,대구광역시 북구 산격동 1499-1,주차구획수,19
대학로9길인근,대구광역시 북구 산격동 1417-40,주차구획수,10
대학로인근,대구광역시 북구 산격동 1319-1,주차구획수,33
대현남로8길인근,대구광역시 북구 대현동 272-27,주차구획수,15
대현남로9길인근,대구광역시 북구 대현동 272-27,주차구획수,14
대현로10길인근,대구광역시 북구 대현동 439-4,주차구획수,5
대현로13길인근,대구광역시 북구 대현동 526,주차구획수,14
대현로19길인근,대구광역시 북구 대현동 103-35,주차구획수,80
대현로21길인근,대구광역시 북구 대현동 112-44,주차구획수,30
대현로3길인근,대구광역시 북구 대현동 236-12,주차구획수,9
대현로9길인근,대구광역시 북구 대현동 241,주차구획수,38
대현로서15길인근,대구광역시 북구 대현동 526,주차구획수,31
동북로26길인근,대구광역시 북구 산격동 1203-64,주차구획수,14
동북로37길인근,대구광역시 북구 산격동 493-4,주차구획수,17
동북로50길인근,대구광역시 북구 복현동 623,주차구획수,10
동북로53길인근,대구광역시 북구 복현동 332-1,주차구획수,37
동북로55길인근,대구광역시 북구 복현동 623,주차구획수,10
동북로57길인근,대구광역시 북구 복현동 623,주차구획수,39
동암로7길인근,대구광역시 북구 읍내동 1234-184,주차구획수,47
동천교인근,대구광역시 북구 구암동 761-2,주차구획수,19
백사벌네거리(남편),대구광역시 북구 침산동 1208,주차구획수,56
백사벌네거리(북편),대구광역시 북구 침산동 1208,주차구획수,23
복현로북2길인근,대구광역시 북구 복현동 623,주차구획수,14
북구청인근,대구광역시 북구 침산동 449-5,주차구획수,39
북부소방서뒤편,대구광역시 북구 칠성동2가 302-93,주차구획수,24
북침산네거리(북편),대구광역시 북구 침산동 543-4,주차구획수,16
산격로10길인근,대구광역시 북구 산격동 1499-1,주차구획수,10
산격로13길인근,대구광역시 북구 산격동 1185-38,주차구획수,3
산격로19길인근,대구광역시 북구 산격동 1499-2,주차구획수,7
산격로8길인근,대구광역시 북구 산격동 1499-1,주차구획수,15
산격로9길인근,대구광역시 북구 산격동 1426-52,주차구획수,24
성북로13길인근,대구광역시 북구 침산동 333-3,주차구획수,10
성북로5길인근,대구광역시 북구 침산동 551-8,주차구획수,134
