희망구매유형,수요기술명,수요기술번호,진행상태,구매희망시기,희망기술개요,키워드,기술도입지원기관,기술지표상세,기술구매조건,기술이전계약설명,기술이전계약유형,정액기술료,기타계약조건,경상기술료,기술센터지역,수집일시,정보충실도
"기술매매,기술협력",콩 발효기술,00000000001,수요기업만족도체크,3개월이내,새로운 방식의 콩 식품 개발용 발효 종균,"콩,발효,,,",협의후 결정,사업화,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
"라이센스,기술협력,기술지도","비목나무 유래 추출물, 분획물  또는 화합물을 함유하는 피부 미백기술",00000000002,컨설팅완료,3개월이내,"1. 수요기술 개요
비목나무 유래 추출물, 분획물 또는 화합물을 함유하는 피부 미백용 조성물에 관한 기술필요. 구체적으로는 비목나무를 에탄올로 추출하여 얻은 에탄올 추출물, 이로부터 얻은 용매 분획물 또는 이로부터 분리정제한 화합물을 유효성분으로 하는 피부 미백용 조성물에 관한 기술임. 비목나무 유래 추출물, 분획물 또는 화합물을 함유하는 피부 미백용 조성물은 비목나무 추출물, 이의 용매분획물 또는 이로부터 분리정제한 사이클펜타디온 화합물을 유효성분으로서 함유함으로써 기존에 미백제로 알려진 Arbutin보다 더욱 높은 멜라닌 저해 활성을 보이는 효과입증 필요.
2. 수요기술의 필요목적
화장품 생산제조 업체로서, 신제품 개발을 통한 매출신장에 목적이 있음.","비목나무,추출물,분획물,화합물,피부미백",협의후 결정,신제품 개발,"화장품 소재 개발에 투입될 수 있는 기술 필요.
관련 기술 개량 발명에 대한 조건 및 검토사항 추가 협의 필요.
기타 기술이전에 대한 주요사항 협의 필요.",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,제주,2026-07-10,3
"라이센스,기술협력,기술지도",경단구슬모자반 추출물을 활용한 알러지성 질환 개선기술,00000000003,컨설팅완료,3개월이내,"1. 수요기술의 개요
경단구슬모자반(Sargassum muticum) 추출물 또는 유효물질을 이용한 알러지성 질환의 개선제 조성물 기술 필요
2. 수요기술 필요 목적
지난 3년간 제주를 대표하는 원료인 경단구슬모자반을 활용하여 기능성 기초제품은 물론 메이크업 베이스, 썬크림 등을 연구개발 판매하고 있는 기업이며, 국내외 바이어는 물론 소비자들에게도 해조류를 대표하는 경단구슬모자반 화장품이 많이 알려져 있음.
최근 면세점 입점을 추진중이며 고급스런 이미지를 만들어 제주를 대표하는 브랜드 및 화장품으로 도약하려함.","경단구슬모자반,추출물,알러지성,질환,",협의후 결정,신제품 개발,제품에 바로 적용할 수 있는 상용화기술 필요,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,제주,2026-07-10,3
"라이센스,기술협력","홈쇼핑, 대형마트 등에서 유통이 가능한 생활용품",00000000004,컨설팅완료,3개월이내,"생활용품 중심의 아이디어 제품이 가능한 특허기술을 도입하고, 제품 디자인, 시제품 제작을 통해 본사의 유통 네트워크를 활용한 신규 시장개척을 희망","디자인,제품화,유통,,",협의후 결정,신규 아이디어 제품 양산 및 유통 협력,"기술협력을 통하여 제품 출시 및 유통에 따른 매출 발생시, 이익 공유",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기,2026-07-10,3
"기술매매,기술협력,기술지도",콩을 활용한 응용식품,00000000005,컨설팅매칭,9개월이내,"충북 소재 기업 중 콩을 활용한 새로운 형태의 식품에 대한 니즈가 있음
- 콩을 이용한 식품
- 이전의 콩 식품과 다른 형태의 식품","콩,대두,식품,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충북,2026-07-10,3
기술매매,계전기,00000000006,컨설팅완료,3개월이내,협의후 결정,"보호계전기,계전기,디지털,,",협의후 결정,기존 보유기술의 고도화 및 추가 기술개발용,"신탁,기부,나눔기술 등 상대적으로 도입비용이 적은 기술을 희망함",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,2
기술매매,견인줄을 이용한 현수막 게시시스템 및 게시방법,00000000007,컨설팅매칭,즉시,"견인줄을 이용하면 타 매체 광고방법에 비해 장소의 제약이 비교적 까다롭지 않아 광범위한 시각적 노출과 즉시적인 광고효과를 얻을 수 있고, 광고면의 크기의 제한(종이/지류 인쇄 및 영상광고에 비해)이 없으며, 제작 및 홍보방법이 용이할 뿐만아니라 비용이 저렴할 듯 하다.
 
 하지만, 현수막 부착위치에 따라 높은 곳일 수록 크레인 및 설치 인건비가 추가적으로 많은 비용이 지출됨으로써 실제 현수막크기에 비례하여 제작단가의 약 1~1.5배를 더 지불해야 하는 실정이다.

 이에 건물외벽에 현수막(전용)게시대를 설치함으로써 현수막을 손쉽게 탈,부착 가능하고, 시간적 제약(크레인 및 설치인력 예약대기시간 불필요 /설치소요시간 10분~20분이내)이 없으며, 크레인 위치 점유를 통한 영업손실 및 잦은 드릴 작업을 통한 불필요한 건물외벽손상을 막을 수 있을 것이다.

 그 외 현수막 가공이 간단해져 생산 및 납품기간이 단축됨과 동시에 추가 가공 원자재를 줄임으로써 더욱 저렴한 가격으로 소비자에게 혜택을 부여할 수 있다.","광고물,게시대,견인줄,,",협의후 결정,신사업추진,별도 협의 후 진행 예정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
기술매매,교통정보 수집장치,00000000008,신청,3개월이내,교통정보 수집장치,"교통정보,교통정보수집장치,,,",협의후 결정,기술도입 후 R&D 제안,특허양도,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,3
"기술매매,라이센스,M&A","축산분뇨, 하수슬러지, 음식물 쓰레기 등을 활용한 폐기물 고형화 펠릿 제조 기술",00000000009,기술이전계약,즉시,"축산분뇨, 하수슬러지, 음식물 쓰레기 등 폐기물을 처리하여 퇴비화, 사료화 할 때의 문제점인 악취, 폐수, 토양오염 등 2차 환경오염을 방지하면서 고형연료 펠릿을 제조 할 수 있는 폐기물에너지 생산기술","폐기물에너지,고형화,펠릿,폐기물처리,",(주)로하스텍,"사업영역 확장, 신규사업추진",협의 후 결정,협의후 결정,기술양도(매매),2000000000,협의후 결정,0,강원,2026-07-10,4
기술매매,건물 내 재난 시 사용 가능한 피난용 기구 장치,00000000010,사업화모니터링,즉시,화재와 같은 건물 내 재난 사고 시 신속하게 대피할 수 있는 기구 또는 출입문 등에 부착 가능한 장치로 좁은 공간에서도 사용 가능한 피난용 장치,"대피용 출입문,피난용 장치,,,",(주)태광엔지니어링,사업 확장,기술 및 제품 생산 설비/노하우 필요,협의후 결정,기술양도(매매),11000000,-,0,충남,2026-07-10,4
