고객ID,나이,멤버십등급,월평균구매금액,구매횟수,리뷰점수,이탈여부,성별_남,성별_여,거주지역_경기,거주지역_기타,거주지역_대구,거주지역_부산,거주지역_서울,가입경로_광고,가입경로_앱,가입경로_웹,가입경로_지인추천,쿠폰사용여부_N,쿠폰사용여부_Y,회당평균구매금액
C0001,-1.4738657816180865,1,-0.49805330545073373,-0.18359232912438098,-0.8054214325937472,1,True,False,False,False,True,False,False,False,True,False,False,True,False,-0.47143177746091797
C0002,1.0312885214154883,3,2.0189891440235304,2.2732393258247563,1.7879318462269636,0,False,True,False,False,False,True,False,False,False,True,False,False,True,-0.3480472210950516
C0003,0.6137628042432258,0,-1.1824765818176108,-1.0769856581967945,-0.8054214325937472,0,False,True,False,True,False,False,False,False,True,False,False,False,True,-0.332295275587852
C0004,-0.2212886301012991,1,-0.309410976796426,-1.0769856581967945,0.12077616698507782,0,False,True,True,False,False,False,False,False,True,False,False,True,False,1.2119277948420788
C0005,-0.2212886301012991,2,0.4658575799715358,-0.18359232912438098,2.1584108860584936,0,True,False,True,False,False,False,False,False,False,True,False,True,False,0.2592415543091624
C0006,1.30963899953033,1,-0.19423501670646118,-0.853637325928691,-0.9906609525095116,0,True,False,False,False,False,True,False,False,True,False,False,True,False,0.6908059171089556
C0007,-1.4738657816180865,2,0.4519454824269023,0.039756003143722386,0.6764947267323725,1,False,True,True,False,False,False,False,True,False,False,False,False,True,0.032145357022867034
C0008,0.7529380433006466,1,-0.30545687591268506,-0.18359232912438098,0.12077616698507782,0,True,False,False,False,False,True,False,False,True,False,False,False,True,-0.32543791331243
C0009,-1.056340064445824,0,-0.935464188453882,-1.3003339904648978,-1.3611399923410419,1,True,False,True,False,False,False,False,False,False,False,True,True,False,0.898760627879628
C0010,-1.4738657816180865,2,0.42794931436546474,0.4864526676799291,0.6764947267323725,0,True,False,False,False,False,False,True,False,False,True,False,True,False,-0.28375808775045475
C0011,0.12664946754225298,0,-0.7511506852836177,-1.3003339904648978,-0.06446335293068653,1,False,True,False,False,False,False,True,False,False,True,False,True,False,1.3877636801423088
C0012,1.7271647167025923,0,-0.814197888776999,-1.0769856581967945,0.30601568690084296,0,False,True,False,False,False,True,False,False,False,True,False,False,True,0.3190927196216216
C0013,0.8921132823580675,1,-0.25887411027664115,0.4864526676799291,-0.6201819126779821,1,False,True,False,False,False,False,True,False,False,True,False,True,False,-0.6482010018490912
C0014,0.9617009018867779,2,0.5056204677469618,0.9331493322161358,2.1584108860584936,1,False,True,False,False,False,False,True,True,False,False,False,True,False,-0.44940470671494775
C0015,0.822525662829357,2,2.7204345133150443,0.7098009999480325,0.6764947267323725,0,False,True,True,False,False,False,False,False,True,False,False,True,False,0.713010807485231
C0016,1.0312885214154883,0,-0.9353885825705255,-1.0769856581967945,-0.06446335293068653,0,True,False,False,False,False,False,True,False,True,False,False,False,True,0.10473830661868148
C0017,0.057061848013542554,0,-0.9534980972379714,-1.0769856581967945,-0.8054214325937472,1,False,True,True,False,False,False,False,False,False,True,False,True,False,0.07270734561995945
C0018,-1.3346905425606657,3,1.8136819637471124,2.049890993556653,1.4174528063954333,0,True,False,False,False,True,False,False,False,False,False,True,False,True,-0.3453262012623616
C0019,1.2400513800016195,0,-0.44154576780959776,-0.6302889936605877,-1.1759004724252766,0,True,False,False,False,False,False,True,False,True,False,False,True,False,-0.006553312565575836
C0020,-0.012525771515167854,0,-1.217656399177514,-1.3003339904648978,-0.8054214325937472,1,False,True,False,False,False,True,False,False,False,True,False,True,False,0.15007510025914067
C0021,0.057061848013542554,0,-0.6783776306978136,-0.853637325928691,-0.6201819126779821,0,False,True,False,False,False,True,False,True,False,False,False,True,False,0.048565354426190706
C0022,-0.4300514886874303,1,-0.7200405169258284,-1.0769856581967945,-0.6201819126779821,0,True,False,True,False,False,False,False,False,False,False,True,True,False,0.4856323072853682
C0023,-1.1259276839745345,2,0.6711524895916801,0.7098009999480325,0.49125520681660817,1,True,False,False,False,False,False,True,True,False,False,False,True,False,-0.27552739440859547
C0024,1.5879894776451715,2,1.018149636922237,1.156497664484239,0.30601568690084296,1,False,True,False,False,True,False,False,False,False,True,False,True,False,-0.31976744084693143
C0025,1.0312885214154883,2,2.7204345133150443,0.4864526676799291,2.343650405974258,0,True,False,False,False,False,False,True,False,False,True,False,True,False,0.9326826398914925
C0026,0.5441751847145154,0,-0.8315152426294934,0.039756003143722386,-0.8054214325937472,1,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.8191436169489347
C0027,-0.3604638691587199,0,-1.0183461277930734,-1.3003339904648978,0.30601568690084296,1,False,True,False,True,False,False,False,True,False,False,False,False,True,0.6788661512558793
C0028,1.1704637604729091,1,-0.22829392134807078,-0.18359232912438098,-0.2497028728464517,0,True,False,False,True,False,False,False,False,True,False,False,True,False,-0.2669460818022478
C0029,0.19623708707096338,0,-0.9395359002496404,-0.853637325928691,-0.6201819126779821,0,False,True,False,False,False,True,False,False,False,False,True,True,False,-0.29787478353947533
C0030,-0.15170101057258867,0,-1.075981064182105,-0.853637325928691,-1.7316190321725722,1,False,True,True,False,False,False,False,False,False,True,False,True,False,-0.47887644777408334
C0031,-0.15170101057258867,0,-0.9491992087775478,-0.853637325928691,-1.1759004724252766,0,False,True,False,False,True,False,False,False,False,True,False,True,False,-0.3106936689814647
C0032,-0.9867524449171136,0,-0.82442199419981,-0.853637325928691,-0.6201819126779821,0,True,False,False,False,True,False,False,False,False,False,True,True,False,-0.14517015135567313
C0033,-1.4738657816180865,1,-0.43229557961585446,0.26310433541182576,1.0469737665639027,0,True,False,True,False,False,False,False,False,False,True,False,False,True,-0.6576125767230753
C0034,0.19623708707096338,2,0.40957631597299093,1.3798459967523424,0.8617342466481385,0,True,False,False,False,True,False,False,True,False,False,False,True,False,-0.6335644233368993
C0035,1.4488142385877507,0,-1.222738710848328,-0.853637325928691,0.30601568690084296,1,False,True,False,False,False,False,True,False,False,True,False,False,True,-0.6735581610731258
C0036,-1.5434534011467969,1,-0.1363758990685893,0.26310433541182576,0.49125520681660817,0,True,False,False,False,False,False,True,False,False,True,False,False,True,-0.48314458903034657
C0037,1.30963899953033,2,0.7549878405585791,0.4864526676799291,1.973171366142728,0,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.11022458666107565
C0038,1.2400513800016195,2,0.6748292546900219,1.156497664484239,0.6764947267323725,0,True,False,False,False,False,False,True,False,False,True,False,False,True,-0.4599005142228418
C0039,-0.7779895863309824,2,0.8622825481116799,0.26310433541182576,2.343650405974258,0,False,True,False,False,False,False,True,False,True,False,False,True,False,0.10564331905898179
C0040,0.474587565185805,1,-0.2137730869099407,0.26310433541182576,-0.43494239276221686,1,True,False,False,False,False,True,False,False,True,False,False,True,False,-0.5287763347485903
C0041,-1.1955153035032449,2,0.7158078726389546,1.6031943290204458,0.12077616698507782,0,False,True,False,True,False,False,False,False,True,False,False,False,True,-0.5819120384418942
C0042,0.9617009018867779,0,-0.7974719555071993,-0.853637325928691,-1.7316190321725722,1,True,False,False,False,True,False,False,False,False,True,False,True,False,-0.10941951194888525
C0043,0.7529380433006466,0,-0.8985132491782271,-1.5236823227330012,0.8617342466481385,0,True,False,False,False,False,True,False,False,False,True,False,False,True,3.477298205980646
C0044,-0.4996391082161407,0,-1.0107745903179368,-1.0769856581967945,-0.2497028728464517,1,True,False,False,True,False,False,False,False,False,True,False,True,False,-0.028599682739331646
C0045,-1.5434534011467969,1,0.32961295508329064,0.26310433541182576,-0.2497028728464517,0,False,True,False,False,False,False,True,False,True,False,False,True,False,-0.20840741196674345
C0046,1.7271647167025923,0,-0.990618628862856,-0.6302889936605877,0.12077616698507782,0,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.5892524645026187
C0047,-0.15170101057258867,0,-1.0452890051028958,-0.853637325928691,-0.2497028728464517,1,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.4381618221177761
C0048,1.4488142385877507,2,0.7265409628436988,1.156497664484239,2.1584108860584936,0,False,True,False,False,False,False,True,False,False,False,True,True,False,-0.4387933473661083
C0049,0.6833504237719362,0,-0.8107565540082229,-0.6302889936605877,-1.9168585520883366,0,False,True,False,False,False,True,False,True,False,False,False,True,False,-0.39837528604876343
C0050,1.0312885214154883,0,2.7204345133150443,-0.4069406613924843,-0.9906609525095116,0,False,True,True,False,False,False,False,False,True,False,False,True,False,2.5436094108707437
C0051,0.9617009018867779,0,-0.5882118226898434,-0.4069406613924843,-1.1759004724252766,0,False,True,True,False,False,False,False,False,False,True,False,True,False,-0.3824524878958628
C0052,-1.056340064445824,1,-0.26030027682108875,0.4864526676799291,-1.5463795122568071,0,True,False,False,False,False,False,True,False,True,False,False,True,False,-0.6489577557290559
C0053,-0.012525771515167854,0,-1.1590253101045964,-0.6302889936605877,-0.06446335293068653,1,False,True,False,False,False,False,True,False,True,False,False,False,True,-0.7679726987386643
C0054,-0.08211339104387827,0,-0.5713180375840979,-0.4069406613924843,-0.9906609525095116,1,True,False,False,True,False,False,False,False,True,False,False,True,False,-0.3675121600687548
C0055,-0.012525771515167854,0,-0.7152241110057153,-1.0769856581967945,-0.2497028728464517,0,False,True,False,False,False,False,True,False,True,False,False,False,True,0.4941512606098592
C0056,-1.6130410206755073,2,0.2924649300773889,0.4864526676799291,2.343650405974258,1,False,True,False,False,False,False,True,False,False,True,False,True,False,-0.35564894361422367
C0057,0.19623708707096338,3,2.2410984472326576,2.4965876580928597,1.2322132864796689,0,False,True,False,False,False,False,True,True,False,False,False,False,True,-0.34578941840599003
C0058,-1.1955153035032449,1,-0.06786825757351167,-0.18359232912438098,-0.43494239276221686,0,False,True,True,False,False,False,False,False,True,False,False,False,True,-0.14533862200036712
C0059,0.8921132823580675,1,-0.23883392070188708,0.26310433541182576,-0.06446335293068653,0,False,True,False,False,True,False,False,False,False,True,False,True,False,-0.5435516725480121
C0060,0.6833504237719362,2,1.0220177351623856,0.7098009999480325,1.4174528063954333,0,False,True,True,False,False,False,False,False,False,False,True,True,False,-0.10627606884759881
C0061,1.5184018581164611,3,1.827637332652745,1.6031943290204458,1.0469737665639027,0,False,True,False,False,False,False,True,True,False,False,False,True,False,-0.1886053515989766
C0062,0.8921132823580675,1,-0.2434050502597277,-0.18359232912438098,-0.6201819126779821,1,True,False,False,False,False,False,True,False,False,True,False,True,False,-0.27840077027570614
C0063,-0.4300514886874303,2,0.4468828959913322,1.3798459967523424,1.4174528063954333,1,True,False,False,False,False,True,False,False,True,False,False,True,False,-0.6194246706215812
C0064,1.7271647167025923,3,1.9356234291978982,2.049890993556653,1.7879318462269636,0,True,False,False,False,True,False,False,False,False,True,False,False,True,-0.3072646135632935
C0065,-0.2908762496300095,2,0.7374259195157349,0.039756003143722386,-0.8054214325937472,0,False,True,False,False,True,False,False,False,True,False,False,False,True,0.22149774127108396
C0066,-0.6388143472735616,1,-0.23247663079996164,-0.18359232912438098,-0.9906609525095116,0,True,False,False,False,True,False,False,True,False,False,False,True,False,-0.2701167008887834
C0067,1.5184018581164611,0,-1.0770057809982945,0.039756003143722386,0.30601568690084296,0,True,False,False,False,False,True,False,False,True,False,False,False,True,-0.9819716524687431
C0068,-0.012525771515167854,0,-0.841915173552142,-0.853637325928691,-0.43494239276221686,0,True,False,False,False,False,False,True,False,False,True,False,True,False,-0.16837577099268553
C0069,-1.5434534011467969,1,-0.2540657731310254,-1.0769856581967945,-0.6201819126779821,0,False,True,True,False,False,False,False,False,True,False,False,False,True,1.3098188809714895
C0070,-0.08211339104387827,1,2.7204345133150443,0.7098009999480325,-0.2497028728464517,1,False,True,True,False,False,False,False,False,False,True,False,False,True,0.713010807485231
C0071,1.1008761409441987,1,-0.6123595154276735,0.039756003143722386,-0.06446335293068653,1,False,True,True,False,False,False,False,True,False,False,False,False,True,-0.6737828353469237
C0072,-1.1259276839745345,1,-0.09179959196706187,-0.18359232912438098,0.49125520681660817,1,True,False,False,False,False,True,False,False,False,True,False,False,True,-0.16347929049938398
C0073,-0.08211339104387827,1,-0.9011578238528133,-0.4069406613924843,-0.9906609525095116,0,True,False,True,False,False,False,False,False,False,True,False,False,True,-0.6592120074642255
C0074,-1.3346905425606657,2,0.6681209165351348,1.156497664484239,0.12077616698507782,0,True,False,False,False,False,True,False,True,False,False,False,True,False,-0.46263865646996716
C0075,-0.012525771515167854,0,-0.9972968523942655,-1.0769856581967945,-0.6201819126779821,0,True,False,False,False,False,True,False,True,False,False,False,False,True,-0.004761114687579512
C0076,-0.08211339104387827,0,-0.5407886157849018,-0.4069406613924843,-0.8054214325937472,0,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.34051290755092073
C0077,-0.5692267277448512,2,0.48951788163949156,0.9331493322161358,1.0469737665639027,0,False,True,False,True,False,False,False,False,False,True,False,True,False,-0.45652501497635756
C0078,-0.9867524449171136,2,0.7841624190526792,0.7098009999480325,-0.2497028728464517,1,False,True,False,False,True,False,False,False,False,True,False,True,False,-0.22101335916490122
C0079,0.2658247065996738,3,1.685493811684445,1.8265426612885494,1.6026923263111976,0,False,True,False,False,False,True,False,False,False,True,False,True,False,-0.3166894453167874
C0080,0.6137628042432258,2,0.644695997100046,0.7098009999480325,1.4174528063954333,0,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.28828954876965274
C0081,1.5879894776451715,2,0.8039303098171585,1.156497664484239,-0.06446335293068653,1,True,False,True,False,False,False,False,False,True,False,False,False,True,-0.40720533919882634
C0082,-0.2212886301012991,0,-0.9933287386717913,-1.3003339904648978,-0.6201819126779821,1,False,True,True,False,False,False,False,True,False,False,False,False,True,0.7452399080861049
C0083,-1.1955153035032449,1,0.018447886161742998,-0.853637325928691,-0.06446335293068653,0,True,False,False,False,False,False,True,True,False,False,False,True,False,0.9729409394425175
C0084,1.2400513800016195,0,-1.1290655939723213,-0.6302889936605877,-1.3611399923410419,0,True,False,True,False,False,False,False,False,False,False,True,True,False,-0.7361781912682651
C0085,0.474587565185805,1,-0.1609431077164523,0.039756003143722386,-0.06446335293068653,1,True,False,False,True,False,False,False,True,False,False,False,False,True,-0.37436906829329114
C0086,0.7529380433006466,3,2.022714360920781,2.049890993556653,-0.06446335293068653,0,False,True,False,False,True,False,False,False,False,False,True,True,False,-0.28008092241024707
C0087,-1.404278162089376,0,-0.706442697415087,-0.6302889936605877,-0.8054214325937472,1,False,True,False,False,False,False,True,False,False,False,True,True,False,-0.28767304581145775
C0088,-0.6388143472735616,1,0.2535317939894844,-0.4069406613924843,-0.8054214325937472,1,False,True,True,False,False,False,False,False,False,False,True,True,False,0.36195887408409155
C0089,0.9617009018867779,0,-1.0702215120664458,-0.4069406613924843,-1.1759004724252766,1,False,True,False,False,False,False,True,False,False,True,False,True,False,-0.8087265721257948
