고객ID,나이,멤버십등급,월평균구매금액,구매횟수,리뷰점수,이탈여부,성별_남,성별_여,거주지역_경기,거주지역_기타,거주지역_대구,거주지역_부산,거주지역_서울,가입경로_광고,가입경로_앱,가입경로_웹,가입경로_지인추천,쿠폰사용여부_N,쿠폰사용여부_Y,1회당평균구매금액
C0001,-1.4749650406784764,실버,-0.3293519025045145,-0.18282138097720146,-0.8089027037561554,1,True,False,False,False,True,False,False,False,True,False,False,True,False,-0.2989566985635696
C0002,1.0302063514892748,VIP,0.7835211629589496,2.2847064604328784,1.784734220052154,0,False,True,False,False,False,True,False,False,False,True,False,False,True,-0.24482916586271372
C0003,0.612677786127983,브론즈,-0.6319595243203666,-1.0801042323990488,-0.8089027037561554,0,False,True,False,True,False,False,False,False,True,False,False,False,True,-0.23791894978174138
C0004,-0.22237934459460082,실버,-0.24594648889715365,-1.0801042323990488,0.11739619760395491,0,False,True,True,False,False,False,False,False,True,False,False,True,False,0.43951578924881934
C0005,-0.22237934459460082,골드,0.0968270290894046,-0.18282138097720146,2.1552537805961984,0,True,False,True,False,False,False,False,False,False,True,False,True,False,0.02158215835588124
C0006,1.3085587283968028,실버,-0.19502314280905372,-0.855783519543587,-0.9941624840281768,0,True,False,False,False,False,True,False,False,True,False,False,True,False,0.2109049946005
C0007,-1.4749650406784764,골드,0.09067600106651336,0.041499331878260354,0.6731755384200208,1,False,True,True,False,False,False,False,True,False,False,False,False,True,-0.07804260188076155
C0008,0.7518539745817469,실버,-0.24419824171421095,-0.18282138097720146,0.11739619760395491,0,True,False,False,False,False,True,False,False,True,False,False,False,True,-0.23491069565548023
C0009,-1.0574364753171845,브론즈,-0.5227466505098447,-1.3044249452545107,-1.3646820445722212,1,True,False,True,False,False,False,False,False,False,False,True,True,False,0.3021325820641976
C0010,-1.4749650406784764,골드,0.08006645051424265,0.490140757589184,0.6731755384200208,0,True,False,False,False,False,False,True,False,False,True,False,True,False,-0.216626185928168
C0011,0.12556112653980905,브론즈,-0.4412551630213262,-1.3044249452545107,0.0,1,False,True,False,False,False,False,True,False,False,True,False,True,False,0.5166531791450893
C0012,1.7260872937580947,브론즈,-0.4691305509136651,-1.0801042323990488,0.30265597787597714,0,False,True,False,False,False,True,False,False,False,True,False,False,True,0.047838247473130646
C0013,0.8910301630355109,실버,-0.22360236133802647,0.490140757589184,-0.6236429234841331,1,False,True,False,False,False,False,True,False,False,True,False,True,False,-0.3765035346943736
C0014,0.9606182572623928,골드,0.11440760140734893,0.9387821833001077,2.1552537805961984,1,False,True,False,False,False,False,True,True,False,False,False,True,False,-0.289293649741064
C0015,0.8214420688086288,골드,6.829978126329642,0.7144614704446458,0.6731755384200208,0,False,True,True,False,False,False,False,False,True,False,False,True,False,2.9661854530036824
C0016,1.0302063514892748,브론즈,-0.5227132224875259,-1.0801042323990488,-0.06786358266806648,0,True,False,False,False,False,False,True,False,True,False,False,False,True,-0.046196823374675816
C0017,0.055973032312927086,브론즈,-0.5307200763672552,-1.0801042323990488,-0.8089027037561554,1,False,True,True,False,False,False,False,False,False,True,False,True,False,-0.060248475704300766
C0018,-1.3357888522247126,VIP,0.6927476318555706,2.0603857475774165,1.4142146595081095,0,True,False,False,False,True,False,False,False,False,False,True,False,True,-0.24363548251763706
C0019,1.2389706341699207,브론즈,-0.30436793107820104,-0.6314628066881252,-1.179422264300199,0,True,False,False,False,False,False,True,False,True,False,False,True,False,-0.09501930922018621
C0020,4.944531484830035e-16,브론즈,-0.6475137598859756,-1.3044249452545107,-0.8089027037561554,1,False,True,False,False,False,True,False,False,False,True,False,True,False,-0.026308039457106153
C0021,0.055973032312927086,브론즈,-0.4090796340162593,-0.855783519543587,-0.6236429234841331,0,False,True,False,False,False,True,False,True,False,False,False,True,False,-0.07083931832101903
C0022,-0.43114362727524674,실버,-0.4275002625290246,-1.0801042323990488,-0.6236429234841331,0,True,False,True,False,False,False,False,False,False,False,True,True,False,0.12089744744728786
C0023,-1.1270245695440666,골드,0.18759513490372443,0.7144614704446458,0.4879157581479993,1,True,False,False,False,False,False,True,True,False,False,False,True,False,-0.21301546562301762
C0024,1.5869111053043305,골드,0.34101478785295947,1.1631028961555694,0.30265597787597714,1,False,True,False,False,True,False,False,False,False,True,False,True,False,-0.23242311785120903
C0025,1.0302063514892748,골드,4.496122507612891,0.490140757589184,2.34051356086822,0,True,False,False,False,False,False,True,False,False,True,False,True,False,2.1083650771039686
C0026,0.5430896919011009,브론즈,-0.4767871626134663,0.041499331878260354,-0.8089027037561554,1,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.45149429740660474
C0027,-0.3615555330483648,브론즈,-0.5593916732917323,-1.3044249452545107,0.30265597787597714,1,False,True,False,True,False,False,False,True,False,False,False,False,True,0.2056671424276835
C0028,1.1693825399430386,실버,-0.21008178340637568,-0.18282138097720146,-0.2531233629400887,0,True,False,False,True,False,False,False,False,True,False,False,True,False,-0.20925093226165406
C0029,0.19514922076669106,브론즈,-0.5245468976168316,-0.855783519543587,-0.6236429234841331,0,False,True,False,False,False,True,False,False,False,False,True,True,False,-0.22281903481828755
C0030,-0.15279125036771884,브론즈,-0.5848741073883248,-0.855783519543587,-1.7352016051162655,1,False,True,True,False,False,False,False,False,False,True,False,True,False,-0.30222259867045226
C0031,-0.15279125036771884,브론즈,-0.5288193864603224,-0.855783519543587,-1.179422264300199,0,False,True,False,False,True,False,False,False,False,True,False,True,False,-0.22844254769045247
C0032,-0.9878483810903026,브론즈,-0.4736509878041442,-0.855783519543587,-0.6236429234841331,0,True,False,False,False,True,False,False,False,False,False,True,True,False,-0.15582908716558816
C0033,-1.4749650406784764,실버,-0.3002780972760595,0.26582004473372217,1.0436950989640652,0,True,False,True,False,False,False,False,False,False,True,False,False,True,-0.38063229555199296
C0034,0.19514922076669106,골드,0.07194310120519212,1.3874236090110312,0.8584353186920437,0,True,False,False,False,True,False,False,True,False,False,False,True,False,-0.3700826186139355
C0035,1.4477349168505667,브론즈,-0.649760828770301,-0.855783519543587,0.30265597787597714,1,False,True,False,False,False,False,True,False,False,True,False,False,True,-0.38762745899677875
C0036,-1.5445531349053585,실버,-0.16944159029128875,0.26582004473372217,0.4879157581479993,0,True,False,False,False,False,False,True,False,False,True,False,False,True,-0.3040949882321995
C0037,1.3085587283968028,골드,0.22466169452580215,0.490140757589184,1.9699940003241754,0,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.1404988282460855
C0038,1.2389706341699207,골드,0.18922076217387052,1.1631028961555694,0.6731755384200208,0,True,False,False,False,False,False,True,False,False,True,False,False,True,-0.29389805227602
C0039,-0.7790840984096566,골드,0.2721004614514714,0.26582004473372217,2.34051356086822,0,False,True,False,False,False,False,True,False,True,False,False,True,False,-0.04579980374839633
C0040,0.47350159767421895,실버,-0.20366161137565583,0.26582004473372217,-0.4383831432121109,1,True,False,False,False,False,True,False,False,True,False,False,True,False,-0.3241131645851411
C0041,-1.1966126637709484,골드,0.2073388515945755,1.611744321866493,0.11739619760395491,0,False,True,False,True,False,False,False,False,True,False,False,False,True,-0.34742324993094337
C0042,0.9606182572623928,브론즈,-0.4617354270711621,-0.855783519543587,-1.7352016051162655,1,True,False,False,False,True,False,False,False,False,True,False,True,False,-0.1401456502707034
C0043,0.7518539745817469,브론즈,-0.5064093396027356,-1.5287456581099725,0.8584353186920437,0,True,False,False,False,False,True,False,False,False,True,False,False,True,1.4333104311394798
C0044,-0.5007317215021287,브론즈,-0.5560440300598962,-1.0801042323990488,-0.2531233629400887,1,True,False,False,True,False,False,False,False,False,True,False,True,False,-0.10469082450267149
C0045,-1.5445531349053585,실버,0.03658848468822824,0.26582004473372217,-0.2531233629400887,0,False,True,False,False,False,False,True,False,True,False,False,True,False,-0.18357062137744334
C0046,1.7260872937580947,브론즈,-0.5471323700215189,-0.6314628066881252,0.11739619760395491,0,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.3506434191591078
C0047,-0.15279125036771884,브론즈,-0.571304067725307,-0.855783519543587,-0.2531233629400887,1,True,False,True,False,False,False,False,False,True,False,False,True,False,-0.2843615121899035
C0048,1.4477349168505667,골드,0.2120843285731399,1.1631028961555694,2.1552537805961984,0,False,True,False,False,False,False,True,False,False,False,True,True,False,-0.2846385558049015
C0049,0.6822658803548649,브론즈,-0.46760901567924196,-0.6314628066881252,-1.920461385388287,0,False,True,False,False,False,True,False,True,False,False,False,True,False,-0.26690756904207996
C0050,1.0302063514892748,브론즈,6.941301754927848,-0.4071420938326633,-0.9941624840281768,0,False,True,True,False,False,False,False,False,True,False,False,True,False,6.154883555873208
C0051,0.9606182572623928,브론즈,-0.3692141565076147,-0.4071420938326633,-1.179422264300199,0,False,True,True,False,False,False,False,False,False,True,False,True,False,-0.259922401667043
C0052,-1.0574364753171845,실버,-0.224232919767628,0.490140757589184,-1.5499418248442434,0,True,False,False,False,False,False,True,False,True,False,False,True,False,-0.37683551481887817
