고객ID,나이,성별,거주지역,가입경로,멤버십등급,월평균구매금액,구매횟수,리뷰점수,쿠폰사용여부,이탈여부
C0001,22.0,남,대구,앱,실버,62705.65304504392,7.0,3.3,N,1
C0002,58.0,여,부산,웹,VIP,180896.75412221585,18.0,4.7,Y,0
C0003,52.0,여,기타,앱,브론즈,30567.64096918764,3.0,3.3,Y,0
C0004,40.0,여,경기,앱,실버,71563.60636961789,3.0,3.8,N,0
C0005,40.0,남,경기,웹,골드,107967.38032029328,7.0,4.9,N,0
C0006,62.0,남,부산,앱,실버,76971.84791258299,4.0,3.2,N,0
C0007,22.0,여,경기,광고,골드,107314.11913773487,8.0,4.1,Y,1
C0008,54.0,남,부산,앱,실버,71749.27647514876,7.0,3.8,Y,0
C0009,28.0,남,경기,지인추천,브론즈,42166.43889866417,2.0,3.0,N,1
C0010,22.0,남,서울,웹,골드,106187.34691130438,10.0,4.1,N,0
C0011,45.0,여,서울,웹,브론즈,50821.12642196535,2.0,3.7,N,1
C0012,68.0,여,부산,웹,브론즈,47860.6604980491,3.0,3.9,Y,0
C0013,56.0,여,서울,웹,실버,73936.632656962,10.0,3.4,N,1
C0014,57.0,여,서울,광고,골드,109834.49999845652,12.0,4.9,N,1
C0015,55.0,여,경기,앱,골드,213834.06138112355,11.0,4.1,N,0
C0016,58.0,남,서울,앱,브론즈,42169.98907422982,3.0,3.7,Y,0
C0017,44.0,여,경기,웹,브론즈,41319.63254608875,3.0,3.3,N,1
C0018,24.0,남,대구,지인추천,VIP,171256.2803586575,17.0,4.5,Y,0
C0019,61.0,남,서울,앱,브론즈,65359.04019565021,5.0,3.1,N,0
C0020,43.0,여,부산,웹,브론즈,28915.725503745554,2.0,3.3,N,1
C0021,44.0,여,부산,광고,브론즈,54238.28271666425,4.0,3.4,N,0
C0022,37.0,남,경기,지인추천,실버,52281.946065142736,3.0,3.4,N,0
C0023,27.0,남,서울,광고,골드,117607.27789874349,11.0,4.0,N,1
C0024,66.0,여,대구,웹,골드,133900.99393130478,13.0,3.9,N,1
C0025,58.0,남,서울,웹,골드,213834.06138112355,10.0,5.0,N,0
C0026,51.0,남,경기,앱,브론즈,47047.50094247751,8.0,3.3,N,1
C0027,38.0,여,기타,광고,브론즈,38274.606374363095,2.0,3.9,Y,1
C0028,60.0,남,기타,앱,실버,75372.56640586266,7.0,3.6,N,0
C0029,46.0,여,부산,지인추천,브론즈,41975.24621515973,4.0,3.4,N,0
C0030,41.0,여,경기,웹,브론즈,35568.28070482374,4.0,2.8,N,1
C0031,41.0,여,대구,웹,브론즈,41521.49261430156,4.0,3.1,N,0
C0032,29.0,남,대구,지인추천,브론즈,47380.57392751728,4.0,3.4,N,0
C0033,22.0,남,경기,웹,실버,65793.39517763231,9.0,4.3,Y,0
C0034,46.0,남,대구,광고,골드,105324.6181517838,14.0,4.2,N,0
C0035,64.0,여,서울,웹,브론즈,28677.07874889391,4.0,3.9,Y,1
C0036,21.0,남,서울,웹,실버,79688.70031306676,9.0,4.0,Y,0
C0037,62.0,남,경기,앱,골드,121543.87914360472,10.0,4.8,N,0
C0038,61.0,남,서울,웹,골드,117779.9253308382,13.0,4.1,Y,0
C0039,32.0,여,서울,앱,골드,126582.04591274398,9.0,5.0,N,0
C0040,50.0,남,부산,앱,실버,76054.41164496873,9.0,3.5,N,1
C0041,26.0,여,기타,앱,골드,119704.13124838908,15.0,3.8,Y,0
C0042,57.0,남,대구,웹,브론즈,48646.04910765075,4.0,2.8,N,1
C0043,54.0,남,부산,웹,브론즈,43901.5197669815,1.0,4.2,Y,0
C0044,36.0,남,기타,웹,브론즈,38630.13806244423,3.0,3.6,N,1
C0045,21.0,여,서울,앱,실버,101569.83138950294,9.0,3.6,N,0
C0046,68.0,남,경기,앱,브론즈,39576.5882417579,5.0,3.8,N,0
C0047,41.0,남,경기,앱,브론즈,37009.467466554765,4.0,3.6,N,1
C0048,64.0,여,서울,지인추천,골드,120208.11788140128,13.0,4.9,N,0
C0049,53.0,여,부산,광고,브론즈,48022.252983540064,5.0,2.7,N,0
C0050,58.0,여,경기,앱,브론즈,213834.06138112355,6.0,3.2,N,0
C0051,57.0,여,경기,웹,브론즈,58472.13905476486,6.0,3.1,N,0
C0052,28.0,남,서울,앱,실버,73869.66509579,10.0,2.9,N,0
C0053,43.0,여,서울,앱,브론즈,31668.826857411357,5.0,3.7,Y,1
C0054,42.0,남,기타,앱,브론즈,59265.40937224649,6.0,3.2,N,1
C0055,43.0,여,서울,앱,브론즈,52508.10685915385,3.0,3.6,Y,0
C0056,20.0,여,서울,웹,골드,99825.49609662502,10.0,5.0,N,1
C0057,46.0,여,서울,광고,VIP,191326.19408309268,19.0,4.4,Y,0
C0058,26.0,여,경기,앱,실버,82905.56842039431,7.0,3.5,Y,0
C0059,56.0,여,대구,웹,실버,74877.64661249945,9.0,3.7,N,0
C0060,53.0,여,경기,지인추천,골드,134082.62566746137,11.0,4.5,N,0
C0061,65.0,여,서울,광고,VIP,171911.57340595569,15.0,4.3,N,0
C0062,56.0,남,서울,웹,실버,74663.00309875162,7.0,3.4,N,1
C0063,37.0,남,부산,앱,골드,107076.39860773612,14.0,4.5,N,1
C0064,68.0,남,대구,웹,VIP,176982.20527168494,17.0,4.7,Y,0
C0065,39.0,여,대구,앱,골드,120719.23560788776,8.0,3.3,Y,0
C0066,34.0,남,대구,광고,실버,75176.16167867654,7.0,3.2,N,0
C0067,65.0,남,부산,앱,브론즈,35520.163753588764,8.0,3.9,Y,0
C0068,43.0,남,서울,웹,브론즈,46559.158249992885,4.0,3.5,N,0
C0069,21.0,여,경기,앱,실버,74162.41457085435,3.0,3.4,Y,0
C0070,42.0,여,경기,웹,실버,213834.06138112355,11.0,3.6,Y,1
C0071,59.0,여,경기,광고,실버,57338.25178410977,8.0,3.7,Y,1
