노선ID,노선번호,기점,종점,수집일시
DGB4090003021,칠곡3[동명-칠곡시장-동명-기성-대구은행연수원-동명],동명교통,동명교통,2026-07-03
DGB4090003023,칠곡3[하판-동명-기성-동명],송학교입구,동명교통,2026-07-03
DGB4090005000,칠곡5,도남동(종점),도남동(종점),2026-07-03
DGB4090005001,칠곡5[도남-팔거역-도남],도남동(종점),도남동(종점),2026-07-03
DGB4100001020,팔공1[동화사],칠성고가도로하단,동화시설집단지구(종점)2(대구시민안전테마파크),2026-07-03
DGB4100001021,팔공1[신무동],칠성고가도로하단,팔공학생야영장앞,2026-07-03
DGB4100001022,팔공1[능성동],칠성고가도로하단,능성동(종점)2,2026-07-03
DGB4100001023,팔공1[평광동],칠성고가도로하단,평광종점,2026-07-03
DGB4100001024,"팔공1[동화사(국가정보자원관리원경유,오전)]",칠성고가도로하단,동화시설집단지구(종점)2(대구시민안전테마파크),2026-07-03
DGB4100001025,"팔공1[동화사(국가정보자원관리원경유, 오후)]",칠성고가도로하단,동화시설집단지구(종점)2(대구시민안전테마파크),2026-07-03
DGB4110001006,"팔공2[팔공산맞춤노선(토요일,공휴일운행)]",동대구역지하도2,갓바위,2026-07-03
DGB4110002000,"팔공3[팔공산맞춤노선(토,휴일,공휴일운행)]",칠곡경대병원역건너2,갓바위,2026-07-03
DGB4120002000,서구2,방천리공영차고지,방천리공영차고지,2026-07-03
DGB4130001000,남구1,앞산공원,앞산공원,2026-07-03
DGB4130001100,남구1-1,앞산공원,앞산공원,2026-07-03
DGB4130002000,남구2,앞산공원,방천리공영차고지,2026-07-03
DGB5000001000,직행1,학정청아람건너,영남대 앞,2026-07-03
DGB5000002000,직행2,기업은행국가산단지점건너,동대구역(2번출구)건너,2026-07-03
DGB7361101008,군위1[군위-도경-광현-용대-상곡-하곡-군위],군위공용버스터미널,도경1리,2026-07-03
DGB7361101009,군위1[군위-효령-마시1리-교수촌-구효령],군위공용버스터미널,장군리,2026-07-03
DGB7361102008,군위2[군위-오곡-대북-삽령-외량-내량-군위],군위공용버스터미널,군위공용버스터미널,2026-07-03
DGB7361102009,군위2[군위-효령-화계-달산-봉산-우보-봉산-병수2-오천-군위],군위공용버스터미널,군위공용버스터미널,2026-07-03
DGB7361102010,군위2[군위-병수2-봉산-우보-달산-화계-효령-군위],군위공용버스터미널,군위공용버스터미널,2026-07-03
DGB7361103010,군위3[군위-소보-위성1-위성4-보현-복성-소보-군위],군위공용버스터미널,군위공용버스터미널,2026-07-03
DGB7361104009,군위4[군위-산법-평호-신계-달산-봉황-소보-서경-군위],군위공용버스터미널,군위공용버스터미널,2026-07-03
DGB7361105009,군위5[군위-불로-내리-효령-구효령-매곡],군위공용버스터미널,매곡2리 마을회관,2026-07-03
DGB7361106009,군위6[군위-노행-효령-장기-효령],군위공용버스터미널,군위공용버스터미널,2026-07-03
DGB7361106011,군위6[군위-효령-구효령-매곡],군위공용버스터미널,매곡2리 마을회관,2026-07-03
