단지명,법정동,계약날짜,거래금액,평당가격,전용면적,층,층구간,건축년도,건물연령
경희궁자이(4단지),교북동,2026-06-28,1000000000,88714157.3,37.2635,7,중층,2017,9
동대문맨션,창신동,2026-06-23,515000000,20308803.5,83.83,6,중층,1973,53
두산,창신동,2026-06-22,918000000,50620924.1,59.95,7,중층,1999,27
흥인,창신동,2026-06-27,577000000,33534574.5,56.88,2,저층,1997,29
롯데캐슬로잔,평창동,2026-06-27,2010000000,33168396.3,200.331,1,저층,2009,17
경희궁자이(2단지),홍파동,2026-06-27,2300000000,127029957.5,59.8547,20,고층,2017,9
광화문스페이스본(101동~105동),사직동,2026-06-26,2100000000,54948393.2,126.34,1,저층,2008,18
벽산블루밍평창힐스,평창동,2026-06-17,1600000000,35042268.5,150.94,5,중층,2004,22
현대,무악동,2026-06-22,1599170000,46009888.5,114.9,4,중층,2000,26
종로중흥S클래스,숭인동,2026-06-15,115000000,19529795.5,19.466,6,중층,2013,13
디팰리스,신문로2가,2026-06-24,5000000000,112022283.8,147.551,9,중층,2020,6
경희궁자이(2단지),홍파동,2026-06-16,2770000000,107800829.5,84.9443,7,중층,2017,9
명륜동주상복합아남아파트,명륜2가,2026-06-17,895000000,49843177.2,59.36,3,저층,1999,27
블루빌,숭인동,2026-06-22,300000000,23473136.1,42.25,5,중층,2017,9
창신이수,창신동,2026-06-18,890000000,34818485.2,84.5,2,저층,2003,23
두산,창신동,2026-06-08,620000000,34188423.7,59.95,11,고층,1999,27
명륜동주상복합아남아파트,명륜2가,2026-06-17,895000000,49843177.2,59.36,3,저층,1999,27
경희궁자이(2단지),홍파동,2026-06-07,2730000000,106379893.4,84.8359,6,중층,2017,9
롯데캐슬천지인,숭인동,2026-06-11,1240000000,36424311.4,112.54,13,고층,2004,22
인왕산2차아이파크,무악동,2026-06-06,1475000000,58028654.6,84.0284,13,고층,2015,11
경희궁자이(2단지),홍파동,2026-06-05,2645000000,103067698.9,84.8359,17,고층,2017,9
창신쌍용1,창신동,2026-06-04,620000000,25661650.2,79.87,13,고층,1992,34
종로청계힐스테이트,숭인동,2026-06-03,1040000000,57355403.3,59.9426,10,고층,2009,17
