정수장,구분,PH,탁도,잔류염소,검사시기
가창,정수1,7.03,0.06,0.61,2025년 1월
가창,정수1,7.08,0.07,0.6,2025년 2월
가창,정수1,7.12,0.06,0.59,2025년 3월
가창,정수1,7.12,0.05,0.57,2025년 4월
가창,정수1,7.08,0.05,0.58,2025년 5월
가창,정수1,7.08,0.05,0.58,2025년 6월
가창,정수1,7.06,0.06,0.58,2025년 7월
가창,정수1,7.01,0.08,0.58,2025년 8월
가창,정수1,7.06,0.08,0.58,2025년 9월
가창,정수1,7.09,0.08,0.6,2025년 10월
가창,정수1,7.06,0.07,0.61,2025년 11월
가창,정수1,7.06,0.07,0.6,2025년 12월
가창,정수2,7.11,0.06,0.66,2025년 1월
가창,정수2,7.19,0.07,0.65,2025년 2월
가창,정수2,7.17,0.07,0.61,2025년 3월
가창,정수2,7.16,0.06,0.59,2025년 4월
가창,정수2,7.07,0.06,0.5,2025년 5월
가창,정수2,7.06,0.06,0.58,2025년 6월
가창,정수2,7.12,0.06,0.58,2025년 7월
가창,정수2,7.0,0.06,0.6,2025년 8월
가창,정수2,7.11,0.07,0.67,2025년 9월
가창,정수2,7.24,0.07,0.66,2025년 10월
가창,정수2,7.09,0.05,0.62,2025년 11월
가창,정수2,7.14,0.07,0.65,2025년 12월
고산,정수,6.95,0.05,0.57,2025년 1월
고산,정수,6.94,0.05,0.58,2025년 2월
고산,정수,6.98,0.05,0.61,2025년 3월
고산,정수,7.0,0.05,0.59,2025년 4월
고산,정수,7.01,0.05,0.59,2025년 5월
고산,정수,7.02,0.05,0.62,2025년 6월
고산,정수,7.01,0.05,0.6,2025년 7월
고산,정수,7.02,0.05,0.59,2025년 8월
고산,정수,6.95,0.06,0.6,2025년 9월
고산,정수,6.91,0.05,0.6,2025년 10월
고산,정수,6.99,0.05,0.7,2025년 11월
고산,정수,6.96,0.05,0.7,2025년 12월
공산,정수,7.45,0.06,0.71,2025년 1월
공산,정수,7.46,0.07,0.63,2025년 2월
공산,정수,7.39,0.07,0.63,2025년 3월
공산,정수,7.23,0.08,0.59,2025년 4월
공산,정수,7.15,0.09,0.69,2025년 5월
공산,정수,7.01,0.08,0.7,2025년 6월
공산,정수,6.83,0.08,0.82,2025년 7월
공산,정수,6.85,0.08,0.82,2025년 8월
공산,정수,6.92,0.08,0.84,2025년 9월
공산,정수,6.98,0.08,0.8,2025년 10월
공산,정수,7.08,0.07,0.76,2025년 11월
공산,정수,7.26,0.08,0.75,2025년 12월
매곡,정수1,7.01,0.07,0.73,2025년 1월
매곡,정수1,7.01,0.08,0.74,2025년 2월
매곡,정수1,7.12,0.07,0.74,2025년 3월
매곡,정수1,7.04,0.07,0.74,2025년 4월
매곡,정수1,6.97,0.07,0.7,2025년 5월
매곡,정수1,6.91,0.07,0.7,2025년 6월
매곡,정수1,6.76,0.06,0.8,2025년 7월
매곡,정수1,6.77,0.08,0.81,2025년 8월
매곡,정수1,6.79,0.08,0.8,2025년 9월
매곡,정수1,6.76,0.06,0.78,2025년 10월
매곡,정수1,6.97,0.06,0.75,2025년 11월
매곡,정수1,7.2,0.07,0.7,2025년 12월
매곡,정수2,6.9,0.07,0.65,2025년 1월
매곡,정수2,6.95,0.07,0.69,2025년 2월
매곡,정수2,7.11,0.07,0.67,2025년 3월
매곡,정수2,7.01,0.05,0.71,2025년 4월
매곡,정수2,6.91,0.05,0.74,2025년 5월
매곡,정수2,6.85,0.06,0.73,2025년 6월
매곡,정수2,6.67,0.06,0.79,2025년 7월
매곡,정수2,6.75,0.09,0.82,2025년 8월
매곡,정수2,6.84,0.09,0.82,2025년 9월
매곡,정수2,6.83,0.07,0.79,2025년 10월
매곡,정수2,7.03,0.07,0.75,2025년 11월
매곡,정수2,7.32,0.06,0.69,2025년 12월
문산,정수,7.33,0.05,0.6,2025년 1월
문산,정수,7.38,0.06,0.57,2025년 2월
문산,정수,7.17,0.07,0.59,2025년 3월
문산,정수,7.06,0.06,0.61,2025년 4월
문산,정수,6.94,0.05,0.65,2025년 5월
문산,정수,6.88,0.06,0.63,2025년 6월
문산,정수,6.9,0.07,0.76,2025년 7월
문산,정수,6.98,0.06,0.82,2025년 8월
문산,정수,6.98,0.06,0.88,2025년 9월
문산,정수,6.9,0.05,0.87,2025년 10월
문산,정수,6.84,0.04,0.74,2025년 11월
문산,정수,7.13,0.04,0.73,2025년 12월
