구군,행정구역,정수장,급수분류
중구,동인동,매곡,전지역
중구,삼덕동,매곡,전지역
중구,성내1동,매곡,전지역
중구,성내2동,매곡,전지역
중구,성내3동,매곡,전지역
중구,대신동,매곡,전지역
중구,남산1동,매곡,전지역
중구,남산2동,매곡,전지역
중구,남산3동,매곡,전지역
중구,남산4동,매곡,전지역
중구,대봉1동,매곡,전지역
중구,대봉2동,매곡,전지역
동구,신암1동,고산,전지역
동구,신암2동,고산,전지역
동구,신암3동,고산,전지역
동구,신암4동,고산,전지역
동구,신암5동,고산,전지역
동구,신천1동,고산,전지역
동구,신천2동,고산,전지역
동구,신천3동,고산,전지역
동구,신천4동,고산,전지역
동구,효목1동,고산,전지역
동구,효목2동,고산,전지역
동구,도평동,고산,전지역
동구,불로봉무동,고산,전지역
동구,지저동,고산,전지역
동구,동촌동,고산,전지역
동구,방촌동,고산,전지역
동구,해안동,고산,전지역
동구,안심1동,고산,전지역
동구,안심2동,고산,전지역
동구,안심3동,고산,전지역
동구,안심4동,고산,전지역
동구,혁신동,고산,전지역
동구,공산동,고산,전지역
서구,내당1동,매곡,전지역
서구,내당2동,매곡,전지역
서구,내당3동,매곡,전지역
서구,내당4동,매곡,전지역
서구,비산1동,매곡,전지역
서구,비산2동,매곡,전지역
서구,비산3동,매곡,전지역
서구,비산4동,매곡,전지역
서구,비산5동,매곡,전지역
서구,비산6동,매곡,전지역
서구,비산7동,매곡,전지역
서구,평리1동,매곡,전지역
서구,평리2동,매곡,전지역
서구,평리3동,매곡,전지역
서구,평리4동,매곡,전지역
서구,평리5동,매곡,전지역
서구,평리6동,매곡,전지역
서구,상중이동,매곡,전지역
서구,원대동,매곡,전지역
남구,이천동,매곡,전지역
남구,봉덕1동,매곡,전지역
남구,봉덕2동,매곡,전지역
남구,봉덕3동,매곡,전지역
남구,대명1동,매곡,전지역
남구,대명2동,매곡,전지역
남구,대명3동,매곡,전지역
남구,대명4동,매곡,전지역
남구,대명5동,매곡,전지역
남구,대명6동,매곡,전지역
남구,대명9동,매곡,전지역
남구,대명10동,매곡,전지역
남구,대명11동,매곡,전지역
북구,고성동,문산,전지역
북구,칠성동,문산,전지역
북구,침산1동,문산,전지역
북구,침산2동,문산,전지역
북구,침산3동,문산,전지역
북구,노원동,문산,전지역
북구,관문동,문산,전지역
북구,태전1동,문산,전지역
북구,태전2동,문산,전지역
북구,구암동,문산,전지역
북구,관음동,문산,전지역
북구,읍내동,문산,전지역
북구,동천동,문산,전지역
북구,국우동,문산,전지역
북구,산격1동,문산,일부지역
북구,무태조야동,문산,일부지역
북구,복현2동,고산,일부지역
북구,대현동,고산,일부지역
북구,무태조야동,고산,일부지역
북구,산격2동,공산,전지역
북구,산격3동,공산,전지역
북구,산격4동,공산,전지역
북구,복현1동,공산,전지역
북구,검단동,공산,전지역
북구,산격1동,공산,일부지역
북구,대현동,공산,일부지역
북구,복현2동,공산,일부지역
수성구,상동,가창,전지역
수성구,파동,가창,전지역
수성구,두산동,가창,전지역
수성구,지산1동,가창,전지역
수성구,지산2동,가창,전지역
수성구,범물1동,가창,전지역
수성구,범물2동,가창,전지역
수성구,범어4동,가창,일부지역
수성구,황금1동,가창,일부지역
수성구,중동,가창,일부지역
수성구,범어1동,고산,전지역
수성구,범어2동,고산,전지역
수성구,범어3동,고산,전지역
수성구,만촌1동,고산,전지역
수성구,만촌2동,고산,전지역
수성구,만촌3동,고산,전지역
수성구,수성1가동,고산,전지역
수성구,수성2가동,고산,전지역
수성구,수성3가동,고산,전지역
수성구,수성4가동,고산,전지역
수성구,황금2동,고산,전지역
수성구,고산1동,고산,전지역
수성구,고산2동,고산,전지역
수성구,고산3동,고산,전지역
수성구,범어4동,고산,일부지역
수성구,황금1동,고산,일부지역
수성구,중동,고산,일부지역
달서구,성당동,매곡,전지역
달서구,두류1동,매곡,전지역
달서구,두류2동,매곡,전지역
달서구,두류3동,매곡,전지역
달서구,본리동,매곡,전지역
달서구,감삼동,매곡,전지역
달서구,죽전동,매곡,전지역
달서구,장기동,매곡,전지역
달서구,용산1동,매곡,전지역
달서구,용산2동,매곡,전지역
달서구,이곡1동,매곡,전지역
달서구,이곡2동,매곡,전지역
달서구,신당동,매곡,전지역
달서구,월성1동,매곡,전지역
달서구,월성2동,매곡,전지역
달서구,진천동,매곡,전지역
달서구,유천동,매곡,전지역
달서구,상인1동,매곡,전지역
달서구,상인2동,매곡,전지역
달서구,상인3동,매곡,전지역
달서구,도원동,매곡,전지역
달서구,송현1동,매곡,전지역
달서구,송현2동,매곡,전지역
달서구,본동,매곡,전지역
달성군,가창면,가창,전지역
달성군,하빈면,문산,전지역
달성군,다사읍,문산,일부지역
달성군,화원읍,매곡,전지역
달성군,논공읍,매곡,전지역
달성군,유가읍,매곡,전지역
달성군,옥포읍,매곡,전지역
달성군,현풍읍,매곡,전지역
달성군,구지면,매곡,전지역
달성군,다사읍,매곡,일부지역
