순위,선수,팀,포지션,경기,선발,이닝,풋아웃,어시스트,실책,병살 처리,수비율,포일,피도루,도루 실패,도루저지율,견제사
1,이창진,KIA,좌익수,33,19,186,44,0,0,0,1,0,0,0,0,0
1,서건창,KIA,2루수,7,4,34,11,12,0,4,1,0,0,0,0,0
1,박정우,KIA,중견수,18,13,92,20,0,0,0,1,0,0,0,0,0
1,박정우,KIA,좌익수,22,2,49,11,0,0,0,1,0,0,0,0,0
1,박정우,KIA,우익수,18,1,46,6,0,0,0,1,0,0,0,0,0
1,박재현,KIA,좌익수,16,1,38,8,0,0,0,1,0,0,0,0,0
1,나성범,KIA,우익수,71,69,541,99,9,0,2,1,0,0,0,0,0
1,오선우,KIA,좌익수,56,37,333,90,2,0,1,1,0,0,0,0,0
1,서건창,KIA,1루수,2,2,13,13,0,0,1,1,0,0,0,0,0
1,최형우,KIA,좌익수,5,4,29,4,0,0,0,1,0,0,0,0,0
1,김석환,KIA,좌익수,29,26,193,44,0,0,0,1,0,0,0,0,0
1,고종욱,KIA,좌익수,28,21,160,43,2,0,0,1,0,0,0,0,0
1,한승택,KIA,포수,12,5,54,39,8,0,0,1,0,4,1,20,0
1,최정용,KIA,2루수,3,2,17,4,6,0,1,1,0,0,0,0,0
1,정현창,KIA,2루수,4,2,15,2,5,0,1,1,0,0,0,0,0
1,정현창,KIA,유격수,4,1,14,3,7,0,2,1,0,0,0,0,0
1,변우혁,KIA,1루수,18,6,68,54,9,0,5,1,0,0,0,0,0
1,박헌,KIA,우익수,7,3,32,7,0,0,0,1,0,0,0,0,0
1,김규성,KIA,1루수,7,2,23,23,3,0,0,1,0,0,0,0,0
1,정해원,KIA,우익수,12,7,53,16,0,0,0,1,0,0,0,0,0
1,김석환,KIA,우익수,10,7,48,11,0,0,0,1,0,0,0,0,0
1,박민,KIA,유격수,8,0,15,1,9,0,1,1,0,0,0,0,0
23,한준수,KIA,포수,93,57,525,452,36,3,5,0.994,5,44,12,21.4,0
24,위즈덤,KIA,1루수,88,60,552,536,28,4,48,0.993,0,0,0,0,0
25,김태군,KIA,포수,95,79,656,554,70,7,7,0.989,3,62,21,25.3,2
26,황대인,KIA,1루수,16,15,113,107,4,2,10,0.982,0,0,0,0,0
27,오선우,KIA,1루수,77,59,505,482,33,10,43,0.981,0,0,0,0,0
27,박민,KIA,3루수,45,13,173,14,39,1,4,0.981,0,0,0,0,0
29,김규성,KIA,2루수,79,25,301,65,97,4,21,0.976,0,0,0,0,0
30,김호령,KIA,중견수,104,94,852,218,7,6,1,0.974,0,0,0,0,0
30,주효상,KIA,포수,7,3,39,34,3,1,0,0.974,0,1,1,50,0
32,박찬호,KIA,유격수,134,131,1114,229,356,16,84,0.973,0,0,0,0,0
33,박민,KIA,2루수,22,14,112,22,47,2,10,0.972,0,0,0,0,0
34,김선빈,KIA,2루수,72,68,503,96,126,9,33,0.961,0,0,0,0,0
35,오선우,KIA,우익수,19,13,102,20,3,1,1,0.958,0,0,0,0,0
36,변우혁,KIA,3루수,34,27,240,19,57,4,2,0.95,0,0,0,0,0
37,김규성,KIA,유격수,25,11,119,21,39,4,5,0.938,0,0,0,0,0
37,박재현,KIA,중견수,20,7,81,14,1,1,0,0.938,0,0,0,0,0
39,김규성,KIA,3루수,31,6,109,10,17,2,2,0.931,0,0,0,0,0
40,윤도현,KIA,2루수,25,21,175,31,48,6,10,0.929,0,0,0,0,0
41,윤도현,KIA,3루수,17,16,115,6,19,2,1,0.926,0,0,0,0,0
41,위즈덤,KIA,3루수,58,54,406,33,79,9,5,0.926,0,0,0,0,0
43,김도영,KIA,3루수,25,25,201,11,43,5,4,0.915,0,0,0,0,0
44,정해원,KIA,좌익수,8,4,44,10,0,1,0,0.909,0,0,0,0,0
44,이창진,KIA,우익수,6,4,27,10,0,1,0,0.909,0,0,0,0,0
46,박재현,KIA,우익수,8,4,39,14,0,2,0,0.875,0,0,0,0,0
47,윤도현,KIA,유격수,1,1,9,1,2,1,1,0.75,0,0,0,0,0
48,김도영,KIA,유격수,1,0,2,0,0,0,0,0,0,0,0,0,0
48,서건창,KIA,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
48,정현창,KIA,3루수,1,1,8,0,0,0,0,0,0,0,0,0,0
48,위즈덤,KIA,우익수,1,0,1,0,0,0,0,0,0,0,0,0,0
48,위즈덤,KIA,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
1,최성민,KT,우익수,21,2,50,10,0,0,0,1,0,0,0,0,0
1,김민석,KT,포수,2,0,2,1,0,0,0,1,0,1,0,0,0
1,안치영,KT,우익수,17,1,35,10,0,0,0,1,0,0,0,0,0
1,유준규,KT,좌익수,17,4,41,8,0,0,0,1,0,0,0,0,0
1,장준원,KT,3루수,11,0,26,2,4,0,1,1,0,0,0,0,0
1,장진혁,KT,중견수,20,13,109,36,1,0,0,1,0,0,0,0,0
1,장준원,KT,2루수,11,4,40,11,16,0,4,1,0,0,0,0,0
1,유준규,KT,중견수,8,1,25,8,1,0,0,1,0,0,0,0,0
1,안치영,KT,좌익수,23,9,87,22,0,0,0,1,0,0,0,0,0
1,안치영,KT,중견수,5,2,19,5,0,0,0,1,0,0,0,0,0
1,권동진,KT,2루수,4,2,24,4,9,0,0,1,0,0,0,0,0
1,장진혁,KT,좌익수,41,11,159,37,3,0,1,1,0,0,0,0,0
1,문상철,KT,1루수,61,45,382,351,30,0,31,1,0,0,0,0,0
1,송민섭,KT,우익수,3,0,4,2,0,0,0,1,0,0,0,0,0
1,황재균,KT,유격수,1,0,1,0,1,0,0,1,0,0,0,0,0
1,최성민,KT,좌익수,10,1,17,6,1,0,0,1,0,0,0,0,0
1,강민성,KT,2루수,16,6,74,20,28,0,5,1,0,0,0,0,0
1,오서진,KT,유격수,2,0,2,2,1,0,1,1,0,0,0,0,0
1,유준규,KT,우익수,2,2,12,2,0,0,0,1,0,0,0,0,0
1,이호연,KT,1루수,12,9,80,68,5,0,3,1,0,0,0,0,0
1,윤준혁,KT,1루수,9,1,23,19,2,0,4,1,0,0,0,0,0
1,이호연,KT,2루수,5,0,8,1,2,0,1,1,0,0,0,0,0
1,윤준혁,KT,유격수,4,0,11,0,4,0,1,1,0,0,0,0,0
1,강민성,KT,1루수,4,0,9,4,0,0,1,1,0,0,0,0,0
1,이정훈,KT,좌익수,24,17,132,23,0,0,0,1,0,0,0,0,0
