순위,선수,팀,경기,도루시도,도루,도루 실패,도루성공률,주루사,견제사
1,박찬호,KIA,134,33,27,6,81.8,5,0
2,김호령,KIA,105,13,12,1,92.3,7,0
3,김규성,KIA,133,7,5,2,71.4,0,0
4,김선빈,KIA,84,4,4,0,100,3,0
4,박재현,KIA,58,7,4,3,57.1,0,0
6,위즈덤,KIA,119,3,3,0,100,0,2
6,김도영,KIA,30,3,3,0,100,1,0
8,박정우,KIA,53,3,2,1,66.7,2,0
8,윤도현,KIA,40,3,2,1,66.7,1,0
8,고종욱,KIA,46,3,2,1,66.7,3,0
11,서건창,KIA,10,1,1,0,100,0,0
11,최형우,KIA,133,1,1,0,100,4,0
11,박민,KIA,71,1,1,0,100,0,0
14,김기훈,KIA,2,0,0,0,0,0,0
14,김대유,KIA,1,0,0,0,0,0,0
14,김석환,KIA,47,0,0,0,0,1,0
14,김시훈,KIA,4,0,0,0,0,0,0
14,김태군,KIA,100,0,0,0,0,3,1
14,박헌,KIA,8,0,0,0,0,0,0
14,변우혁,KIA,47,0,0,0,0,0,1
14,오선우,KIA,124,2,0,2,0,3,1
14,이준영,KIA,1,0,0,0,0,0,0
14,이창진,KIA,37,2,0,2,0,1,0
14,전상현,KIA,1,0,0,0,0,0,0
14,정해원,KIA,24,0,0,0,0,0,0
14,정현창,KIA,16,1,0,1,0,0,0
14,주효상,KIA,8,0,0,0,0,0,0
14,최정용,KIA,4,0,0,0,0,0,0
14,한재승,KIA,2,0,0,0,0,0,0
14,한준수,KIA,103,0,0,0,0,1,0
14,황대인,KIA,18,0,0,0,0,1,0
14,황동하,KIA,3,0,0,0,0,0,0
14,한승택,KIA,15,0,0,0,0,0,0
14,김현수,KIA,1,0,0,0,0,0,0
14,나성범,KIA,82,0,0,0,0,0,1
14,조상우,KIA,2,0,0,0,0,0,0
14,이성원,KIA,1,0,0,0,0,0,0
14,정해영,KIA,1,0,0,0,0,0,0
1,김민혁,KT,106,14,11,3,78.6,2,0
2,안현민,KT,112,8,7,1,87.5,3,2
3,배정대,KT,99,9,6,3,66.7,2,0
4,허경민,KT,114,5,4,1,80,4,0
5,권동진,KT,123,4,3,1,75,1,1
5,황재균,KT,112,4,3,1,75,6,0
5,김상수,KT,113,4,3,1,75,1,0
8,스티븐슨,KT,39,2,2,0,100,5,1
8,유준규,KT,35,3,2,1,66.7,1,0
8,강백호,KT,95,6,2,4,33.3,1,2
11,윤준혁,KT,28,1,1,0,100,0,0
11,최성민,KT,32,1,1,0,100,0,0
11,로하스,KT,95,2,1,1,50,2,0
11,장진혁,KT,86,1,1,0,100,0,1
11,문상철,KT,79,2,1,1,50,1,0
16,박경수,KT,1,0,0,0,0,0,0
16,손동현,KT,1,0,0,0,0,0,0
16,송민섭,KT,3,0,0,0,0,1,0
16,안치영,KT,47,2,0,2,0,0,0
16,오서진,KT,3,0,0,0,0,0,0
16,이상동,KT,2,0,0,0,0,0,0
16,장성우,KT,129,1,0,1,0,4,0
16,장준원,KT,73,0,0,0,0,0,1
16,주권,KT,2,0,0,0,0,0,0
16,최동환,KT,1,0,0,0,0,0,0
16,이호연,KT,32,0,0,0,0,2,0
16,강민성,KT,25,0,0,0,0,0,0
16,김민석,KT,2,0,0,0,0,0,0
16,김건형,KT,2,0,0,0,0,0,0
16,강현우,KT,40,0,0,0,0,0,0
16,김병준,KT,9,0,0,0,0,0,0
16,조대현,KT,64,0,0,0,0,0,0
16,이정훈,KT,59,1,0,1,0,0,0
16,박건우,KT,2,0,0,0,0,0,0
16,박민석,KT,19,1,0,1,0,1,0
16,이정현,KT,2,0,0,0,0,0,0
16,박영현,KT,5,0,0,0,0,0,0
16,김민수,KT,1,0,0,0,0,0,0
16,오윤석,KT,77,0,0,0,0,3,0
16,우규민,KT,2,0,0,0,0,0,0
1,박해민,LG,144,63,49,14,77.8,5,0
2,신민재,LG,135,24,15,9,62.5,4,1
3,구본혁,LG,131,15,10,5,66.7,2,1
4,오지환,LG,127,16,9,7,56.3,7,0
5,최원영,LG,119,12,8,4,66.7,1,2
6,문성주,LG,135,7,4,3,57.1,8,0
6,박동원,LG,139,4,4,0,100,7,0
6,김현수,LG,140,4,4,0,100,4,0
9,오스틴,LG,116,3,3,0,100,2,0
9,홍창기,LG,51,3,3,0,100,1,0
9,천성호,LG,83,4,3,1,75,2,2
9,문보경,LG,141,4,3,1,75,3,0
13,송찬의,LG,66,4,2,2,50,0,1
14,최승민,LG,19,3,1,2,33.3,0,0
14,이영빈,LG,44,1,1,0,100,0,1
14,손용준,LG,9,1,1,0,100,0,0
14,김정율,LG,13,1,1,0,100,0,0
18,우강훈,LG,2,0,0,0,0,0,0
18,유영찬,LG,11,0,0,0,0,0,0
18,이우찬,LG,1,0,0,0,0,0,0
18,이정용,LG,8,0,0,0,0,0,0
18,이지강,LG,6,0,0,0,0,0,0
18,장현식,LG,6,0,0,0,0,0,0
18,함덕주,LG,3,0,0,0,0,0,0
18,함창건,LG,15,0,0,0,0,1,0
18,김성우,LG,7,0,0,0,0,0,0
18,김영우,LG,4,0,0,0,0,0,0
18,백승현,LG,3,0,0,0,0,0,0
18,김진수,LG,1,0,0,0,0,0,0
18,박명근,LG,5,0,0,0,0,0,0
18,김현종,LG,10,0,0,0,0,0,0
18,박관우,LG,39,0,0,0,0,0,0
18,문정빈,LG,21,0,0,0,0,0,0
18,김진성,LG,5,0,0,0,0,0,0
18,김준태,LG,2,0,0,0,0,0,0
18,이주헌,LG,76,0,0,0,0,2,0
18,김주성,LG,16,2,0,2,0,0,0
1,김주원,NC,144,55,44,11,80,1,3
2,최정원,NC,91,36,30,6,83.3,2,0
3,박민우,NC,117,36,28,8,77.8,8,2
4,최원준,NC,126,34,26,8,76.5,7,3
5,천재환,NC,129,20,15,5,75,1,0
6,김휘집,NC,142,12,10,2,83.3,2,1
7,서호철,NC,103,10,7,3,70,7,0
8,박건우,NC,124,10,6,4,60,2,0
9,권희동,NC,136,10,5,5,50,4,0
10,박영빈,NC,16,6,4,2,66.7,0,1
11,도태훈,NC,61,3,3,0,100,1,1
11,김형준,NC,127,3,3,0,100,7,0
11,오영수,NC,67,5,3,2,60,0,1
14,이우성,NC,105,3,2,1,66.7,5,1
14,고승완,NC,17,3,2,1,66.7,0,0
14,오태양,NC,14,3,2,1,66.7,0,0
17,홍종표,NC,62,3,1,2,33.3,0,1
17,박세혁,NC,48,1,1,0,100,0,0
17,데이비슨,NC,112,1,1,0,100,2,0
17,박시원,NC,52,1,1,0,100,0,0
17,한석현,NC,61,2,1,1,50,0,1
17,김한별,NC,76,1,1,0,100,0,0
23,박한결,NC,8,0,0,0,0,0,0
23,류진욱,NC,3,0,0,0,0,0,0
23,배재환,NC,2,0,0,0,0,0,0
23,소이현,NC,2,0,0,0,0,0,0
23,손주환,NC,2,0,0,0,0,0,0
23,송승환,NC,13,0,0,0,0,0,0
23,안중열,NC,33,0,0,0,0,0,0
23,김태훈,NC,1,0,0,0,0,0,0
23,전사민,NC,1,0,0,0,0,0,0
23,김정호,NC,8,0,0,0,0,0,0
23,김영규,NC,1,0,0,0,0,0,0
23,김범준,NC,1,0,0,0,0,0,0
23,안인산,NC,4,0,0,0,0,0,0
23,한재환,NC,16,0,0,0,0,0,0
1,정준재,SSG,132,45,37,8,82.2,4,0
2,최지훈,SSG,140,35,28,7,80,6,2
3,오태곤,SSG,122,33,25,8,75.8,2,0
4,안상현,SSG,102,23,17,6,73.9,2,0
5,박성한,SSG,127,11,5,6,45.5,4,1
6,이지영,SSG,76,3,2,1,66.7,2,0
6,고명준,SSG,130,2,2,0,100,1,0
6,최준우,SSG,78,2,2,0,100,1,0
6,채현우,SSG,41,2,2,0,100,0,0
10,홍대인,SSG,14,2,1,1,50,0,0
10,김태윤,SSG,8,2,1,1,50,0,0
10,김성현,SSG,59,2,1,1,50,1,0
10,한유섬,SSG,128,1,1,0,100,2,0
10,최정,SSG,95,1,1,0,100,3,0
10,하재훈,SSG,18,3,1,2,33.3,0,0
10,최상민,SSG,23,2,1,1,50,1,0
10,에레디아,SSG,96,3,1,2,33.3,5,0
10,김성욱,SSG,56,3,1,2,33.3,1,0
19,이정범,SSG,3,0,0,0,0,0,0
19,이율예,SSG,8,0,0,0,0,0,0
19,신범수,SSG,29,0,0,0,0,0,0
19,석정우,SSG,27,0,0,0,0,1,0
19,맥브룸,SSG,22,0,0,0,0,0,0
19,류효승,SSG,27,1,0,1,0,0,0
19,노경은,SSG,1,0,0,0,0,0,0
19,김택형,SSG,1,0,0,0,0,0,0
19,김창평,SSG,4,0,0,0,0,0,0
19,김찬형,SSG,44,0,0,0,0,1,0
19,김수윤,SSG,7,0,0,0,0,0,0
19,김강민,SSG,1,0,0,0,0,0,0
19,임근우,SSG,3,0,0,0,0,0,0
19,전영준,SSG,1,0,0,0,0,0,0
19,한두솔,SSG,1,0,0,0,0,0,0
19,최현석,SSG,1,0,0,0,0,0,0
19,최민준,SSG,1,0,0,0,0,0,0
19,조형우,SSG,102,0,0,0,0,2,0
19,조병현,SSG,2,0,0,0,0,0,0
19,이승민,SSG,2,0,0,0,0,0,0
19,이로운,SSG,1,0,0,0,0,0,0
19,박지환,SSG,31,1,0,1,0,1,0
19,현원회,SSG,21,0,0,0,0,0,0
19,김건우,SSG,1,0,0,0,0,0,0
19,정현승,SSG,3,0,0,0,0,0,0
1,조수행,두산,108,37,30,7,81.1,3,1
2,정수빈,두산,132,39,26,13,66.7,2,1
3,케이브,두산,136,18,17,1,94.4,8,0
4,강승호,두산,115,17,14,3,82.4,3,1
5,이유찬,두산,89,14,12,2,85.7,3,0
6,박준순,두산,91,12,10,2,83.3,5,0
7,김재환,두산,103,9,7,2,77.8,7,0
