species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,body_mass_g
Adelie,Dream,38.6,19.3,186,Male,5759
Gentoo,Dream,47.8,13.7,215,Female,7269
Gentoo,Biscoe,46.9,14.6,211,Female,7282
Chinstrap,Torgersen,50.1,17.8,199,Female,5820
Adelie,Dream,38.7,19.1,203,Female,5659
Adelie,Biscoe,34.9,18.0,198,Male,6283
Adelie,Torgersen,39.1,19.6,187,Female,5873
Gentoo,Torgersen,38.4,14.9,216,Male,7913
Chinstrap,Torgersen,48.4,16.9,205,Male,6349
Gentoo,Dream,48.1,13.9,203,Male,7654
Adelie,Dream,37.6,18.7,192,Male,6177
Gentoo,Dream,46.3,13.7,208,,8119
Gentoo,Torgersen,51.0,16.0,226,Female,7357
Adelie,Torgersen,32.3,20.0,199,Female,5651
Adelie,Biscoe,34.5,16.7,194,Female,5513
Adelie,Biscoe,40.9,19.1,183,Female,5755
Adelie,Biscoe,40.9,17.6,199,Male,6685
Chinstrap,Torgersen,47.6,19.8,198,Female,5838
Chinstrap,Torgersen,54.5,19.2,190,Male,6319
Adelie,Biscoe,38.7,17.4,183,Female,5527
Chinstrap,Dream,49.5,16.6,196,Male,5858
Adelie,Biscoe,35.7,19.3,176,Male,6192
Adelie,Torgersen,42.9,17.8,194,Female,5677
Adelie,Torgersen,41.2,18.2,186,Male,6255
Chinstrap,Torgersen,43.8,17.2,202,Male,6229
Gentoo,Dream,48.8,13.4,233,,7372
Adelie,Dream,39.4,18.3,179,Male,6004
Chinstrap,Biscoe,57.2,19.1,189,Female,5912
Chinstrap,Biscoe,46.9,18.5,192,Female,5607
Adelie,Torgersen,37.0,20.0,195,Female,6050
Chinstrap,Torgersen,53.9,17.4,202,Male,6506
Adelie,Torgersen,38.0,19.3,190,Male,5936
Adelie,Torgersen,43.7,18.0,176,Male,6057
Gentoo,Dream,44.8,15.0,237,,7345
Gentoo,Dream,47.0,14.8,222,Male,7498
Gentoo,Torgersen,45.2,14.6,211,Female,7540
Adelie,Torgersen,42.6,19.0,184,Female,5697
Adelie,Biscoe,41.3,19.5,190,Male,6311
Chinstrap,Dream,46.1,17.9,185,Female,5641
Chinstrap,Biscoe,48.8,20.5,199,Male,6086
Adelie,Torgersen,40.7,17.0,181,Male,6017
Chinstrap,Dream,47.3,16.9,199,Male,6521
Adelie,Biscoe,41.2,21.8,172,Male,5820
Gentoo,Dream,45.0,14.9,220,Male,7400
Adelie,Dream,41.6,16.7,187,Female,5531
Chinstrap,Biscoe,53.7,17.9,196,Female,5725
Adelie,Biscoe,42.4,18.9,190,Female,5640
Chinstrap,Dream,48.2,19.9,204,Male,6551
Chinstrap,Dream,46.4,17.0,192,Male,6407
Adelie,Dream,36.9,18.0,191,Male,6249
Gentoo,Dream,50.1,15.4,217,Female,7544
Gentoo,Torgersen,46.9,15.5,214,Male,7547
Gentoo,Dream,46.7,14.2,203,Female,7247
Gentoo,Dream,41.3,15.4,230,Female,7514
Chinstrap,Torgersen,45.4,17.9,198,Male,6093
Gentoo,Dream,43.7,12.8,220,Male,7593
Adelie,Biscoe,40.2,18.5,204,Female,5592
Adelie,Biscoe,37.3,21.9,181,,5961
Adelie,Dream,38.7,18.7,178,Female,5623
Adelie,Dream,44.6,17.9,195,Male,6150
Adelie,Dream,43.5,19.4,186,Male,6001
Adelie,Biscoe,40.0,18.9,188,Female,5456
Gentoo,Biscoe,53.1,14.8,210,Male,8072
Adelie,Biscoe,39.1,19.0,188,Female,5581
Adelie,Biscoe,40.5,20.8,200,Male,6270
Chinstrap,Dream,45.1,18.4,192,Female,5654
Adelie,Biscoe,38.1,18.9,196,Female,5904
Gentoo,Dream,44.5,16.9,225,Male,7804
Adelie,Torgersen,39.9,19.0,183,Female,5787
Gentoo,Biscoe,49.1,13.8,220,Male,7972
Gentoo,Dream,50.8,17.1,222,Male,7918
Adelie,Dream,43.0,17.9,196,Male,6777
Adelie,Biscoe,35.5,19.5,193,Female,5399
Gentoo,Dream,45.9,14.2,213,Female,7164
Gentoo,Torgersen,47.4,15.0,228,Male,7746
Gentoo,Torgersen,42.0,14.8,219,Male,8075
Gentoo,Biscoe,45.3,15.3,220,Female,7647
Adelie,Torgersen,37.6,16.8,195,Male,6571
Adelie,Dream,41.7,18.0,179,Male,6348
Adelie,Biscoe,38.7,17.9,192,Female,5573
Gentoo,Dream,45.0,16.4,222,Male,7855
Chinstrap,Torgersen,50.3,16.1,200,Female,5448
Adelie,Dream,40.6,16.6,195,Male,6655
Adelie,Biscoe,34.5,17.6,208,Female,5849
Adelie,Dream,42.8,19.5,189,,6108
Adelie,Biscoe,42.5,20.8,193,Male,6503
Gentoo,Biscoe,50.1,14.5,222,Female,7153
Chinstrap,Biscoe,48.1,17.6,202,,6471
Gentoo,Biscoe,45.5,15.3,219,Female,7264
Chinstrap,Biscoe,46.1,17.5,189,Male,6379
Adelie,Biscoe,37.3,17.3,183,Female,5507
Gentoo,Dream,45.0,15.0,210,Female,6911
Gentoo,Biscoe,46.0,15.6,222,,7341
Chinstrap,Biscoe,46.1,18.6,199,Female,5956
Gentoo,Torgersen,48.3,14.9,216,Male,7876
Chinstrap,Dream,47.9,18.0,201,Male,6531
Chinstrap,Dream,48.7,18.7,188,Female,5448
Chinstrap,Biscoe,46.3,18.0,208,Female,5838
Adelie,Biscoe,41.9,17.2,184,Female,5422
Adelie,Biscoe,34.1,18.6,192,Male,6340
Adelie,Biscoe,37.8,17.2,184,Male,6130
Chinstrap,Biscoe,47.9,18.8,192,Male,6426
Adelie,Biscoe,35.3,17.1,191,Male,6406
Chinstrap,Biscoe,50.5,18.4,187,Female,5793
Gentoo,Biscoe,51.9,15.2,217,,7362
Adelie,Dream,39.7,18.0,197,Female,5467
Chinstrap,Biscoe,51.4,17.0,192,Male,6304
Gentoo,Biscoe,51.3,16.3,216,Male,7785
Adelie,Dream,39.0,17.9,180,Male,6026
Adelie,Dream,35.3,18.2,189,Female,5492
Adelie,Biscoe,41.5,21.4,187,Female,5382
Adelie,Dream,37.5,17.0,191,Male,5803
Gentoo,Dream,49.4,14.2,217,,7166
Gentoo,Biscoe,51.2,14.4,224,Male,8012
Chinstrap,Torgersen,46.4,18.7,192,Male,6012
Gentoo,Torgersen,46.1,13.9,227,Female,7379
